PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,Nama_Sekolah,NPSN,Alamat,Status,Bentuk_Pendidikan,Latitude,Longitude
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,SMKN 6 MAJENE,40604957,JL. POROS MAMUJU-MAJENE KM. 94,NEGERI,SMK,-2.9535,118.8712
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,SMKS BINA INSANI MALUNDA,70002024,JL. POROS MAJENE-MAMUJU Km.87,SWASTA,SMK,-2.9343763,118.8902678
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,SMKS BUNGA BANGSA SEJAHTERA,40602587,JL. POROS MAJENE-MAMUJU KM. 87,SWASTA,SMK,-3.0001,118.8576
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,MA SALABULO,69975865,JL. TAJAI NO 10 LUTANG,SWASTA,MA,0,0
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,MAN 1 MAJENE,60404188,JL. SULTAN HASANUDDIN,NEGERI,MA,-3.536,118.9936
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,MAS AL MUAWANAH SIMULLU,60404186,SIMULLU,SWASTA,MA,-3.50829,118.973137
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,MAS DDI BARUGA,60404189,JL. MUH SALEH BONE,SWASTA,MA,-3.515,118.9537
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,MAS DDI MAJENE,40605956,JLN.KH.MUH.SHALEH NO 57 KAMP.BARU,SWASTA,MA,-3.5415,118.9737
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,MAS MIFTAHUL JIHAD TANDE,40605957,JL. KORBAN 40.000 JIWA TANDE,SWASTA,MA,-3.525786,118.977159
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,SMAN 1 MAJENE,40601308,Jl. M. Djud. P No. 2,NEGERI,SMA,-3.5462,118.9738
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,SMAN 2 MAJENE,40601311,JL. CHAIRIL ANWAR NO.3,NEGERI,SMA,-3.5434,118.9813
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,SMAN 3 MAJENE,40602586,JL. LETJEN HERTASNING,NEGERI,SMA,-3.5416,118.9819
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,SMKN 1 MAJENE,40601489,JL. K.H. MUH. SALEH NO. 41,NEGERI,SMK,-3.4889,118.8972
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,SMKN 2 MAJENE,40601315,JL. DR. RATULANGI NO. 9 MAJENE,NEGERI,SMK,-3.5426,118.9714
