KABUPATEN,KECAMATAN,KELURAHAN,No. Registrasi,NAMA_FASKES,Belum,Sudah
MAMUJU TENGAH,BUDONG-BUDONG,LUMU,760600305,PUSTU LUMU,7,0
MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,760600409,pustu pasapa,1,0
MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,760600411,PUSTU RANTE MARIO,1,0
MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,760600405,pustu pontanakayyang,1,1
MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,7606004,Puskesmas Salugatta,8,5
MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,760600401,pustu salugatta,1,0
MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,760600402,PKD KM 10,1,0
MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,760600410,PUSTU SALU MANURUNG,1,0
MAMUJU TENGAH,BUDONG-BUDONG,TINALI,760600403,Pustu Tinali,1,0
MAMUJU TENGAH,KAROSSA,BENGGAULU,760600903,pustu mora III,1,0
MAMUJU TENGAH,KAROSSA,BENGGAULU,760600907,poskesdes benggaulu,1,0
MAMUJU TENGAH,KAROSSA,BENGGAULU,760600912,PUSTU MORA IV,1,0
MAMUJU TENGAH,KAROSSA,KADAILA,760600905,PUSTU KADAILA,2,0
MAMUJU TENGAH,KAROSSA,KAMBUNONG,760601007,POSKESDES ANTALILI,1,1
MAMUJU TENGAH,KAROSSA,KAMBUNONG,760601008,PUSTU KAMBUNONG,4,0
MAMUJU TENGAH,KAROSSA,KAMBUNONG,760601012,poskesdes pulau kambunong,1,0
MAMUJU TENGAH,KAROSSA,KAROSSA,7606009,Puskesmas Durikumba,0,2
MAMUJU TENGAH,KAROSSA,KAROSSA,760600909,Pustu Karossa Pantai,1,0
MAMUJU TENGAH,KAROSSA,KAROSSA,760600911,POSKESDES LARA III,1,0
MAMUJU TENGAH,KAROSSA,KAYU CALLA,760600902,pustu kayucalla,1,0
MAMUJU TENGAH,KAROSSA,LARA,7606010,Puskesmas lara,0,1
MAMUJU TENGAH,KAROSSA,LARA,760601013,POSKESDES ANGGALEHA,1,0
MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,760601010,PUSTU LEMBAH HOPO,0,1
MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,760601014,POSKESDES POPENGA,1,0
MAMUJU TENGAH,KAROSSA,SALUBIRO,760601002,pustu salubiro,2,1
MAMUJU TENGAH,KAROSSA,SANJANGO,760600904,poskesdes sanjango,1,0
MAMUJU TENGAH,KAROSSA,SANJANGO,760600913,PUSTU SANJANGO,0,1
MAMUJU TENGAH,KAROSSA,SUKA MAJU,760601009,Poskesdes Lara 1,1,0
MAMUJU TENGAH,KAROSSA,SUKA MAJU,760601011,pustu sukamaju,2,0
MAMUJU TENGAH,KAROSSA,TASOKKO,760601005,Pustu Tasokko,5,0
MAMUJU TENGAH,KAROSSA,TASOKKO,760601015,Poskesdes salubejau,1,0
MAMUJU TENGAH,PANGALE,KOMBILING,760600204,Pustu Kombiling,2,0
MAMUJU TENGAH,PANGALE,KUO,760600106,Pustu Kuo,4,0
MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,760600205,Poskesdes Lamba-lamba,1,0
MAMUJU TENGAH,PANGALE,LEMO-LEMO,760600103,Puskesdes Lemo-Lemo,2,0
MAMUJU TENGAH,PANGALE,PANGALE,760600101,Pustu Pangale,1,1
MAMUJU TENGAH,PANGALE,PANGALE,760600102,Poskesdes Latibung,0,1
MAMUJU TENGAH,PANGALE,POLO CAMBA,7606002,Puskesmas Polo Camba,7,2
MAMUJU TENGAH,PANGALE,POLO CAMBA,760600201,Poskesdes Polo Camba II,2,0
MAMUJU TENGAH,PANGALE,POLO LERENG,760600202,Pustu Polo Lereng,2,0
MAMUJU TENGAH,PANGALE,POLO LERENG,760600203,Poskesdes Tritunggal,1,0
MAMUJU TENGAH,PANGALE,POLO PANGALE,7606001,Puskesmas Pangale,4,4
MAMUJU TENGAH,PANGALE,POLO PANGALE,760600104,Puskesdes Sidomulyo,0,1
MAMUJU TENGAH,PANGALE,SARTANAMAJU,760600105,Pustu Sartana Maju,1,0
MAMUJU TENGAH,TOBADAK,BAMBADARU,760600505,PUSTU BAMBADARU,1,1
MAMUJU TENGAH,TOBADAK,BAMBADARU,760600508,POSKESDES PATALASSANG,1,0
MAMUJU TENGAH,TOBADAK,BATU PARIGI,7606016,PUSKESMAS BATUPARIGI,0,1
MAMUJU TENGAH,TOBADAK,BATU PARIGI,760601601,Poskesdes Saluandeang,1,0
MAMUJU TENGAH,TOBADAK,BATU PARIGI,760601603,Poskesdes tanetebaha,1,0
MAMUJU TENGAH,TOBADAK,BATU PARIGI,760601605,Poskesdes Pandoang-Doang,2,0
MAMUJU TENGAH,TOBADAK,MAHAHE,7606005,Puskesmas Tobadak,3,3
MAMUJU TENGAH,TOBADAK,MAHAHE,7606021,"Praktek Mandiri Bidan "" SAYANG IBU""",1,2
MAMUJU TENGAH,TOBADAK,PALONGAAN,760600502,PUSTU POLONGAAN,3,0
MAMUJU TENGAH,TOBADAK,PALONGAAN,760600507,POSKESDES TASANTUNG,1,0
MAMUJU TENGAH,TOBADAK,SALOADAK,7606006,Puskesmas Saloadak,3,1
MAMUJU TENGAH,TOBADAK,SALOADAK,760600601,poskesdes tawaro,1,0
MAMUJU TENGAH,TOBADAK,SALOADAK,760600603,PUSTU RAWA MAKMUR,0,1
MAMUJU TENGAH,TOBADAK,SALOBAJA,760600504,PUSTU SULOBAJA,1,1
MAMUJU TENGAH,TOBADAK,SEJATI,760600602,pustu sejati,2,0
MAMUJU TENGAH,TOBADAK,TOBADAK,7606011,RSUD Kab Mamuju Tengah,1,2
MAMUJU TENGAH,TOBADAK,TOBADAK,7606022,KLINIK POLRES MAMUJU TENGAH,4,0
MAMUJU TENGAH,TOBADAK,TOBADAK,7606024,PMB MAWADDAH,1,1
MAMUJU TENGAH,TOBADAK,TOBADAK,760600501,PUSTU TOBADAK,2,0
MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,760600801,PUSTU BAMBAMANURUNG,2,0
MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,760600709,poskesdes patulana ujung,1,0
MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,760600713,PUSTU BUDONG-BUDONG,1,0
MAMUJU TENGAH,TOPOYO,KABUBU,760600702,PUSTU KABUBU,1,0
MAMUJU TENGAH,TOPOYO,PANGALLOANG,7606025,PMB KASIH IBU,1,2
MAMUJU TENGAH,TOPOYO,PANGALLOANG,760600710,PKD pangalloang,2,1
MAMUJU TENGAH,TOPOYO,PARAILI,760600704,PUSTU PARAILI,1,0
MAMUJU TENGAH,TOPOYO,SALULEKBO,760600806,PUSTU SALULEBO,2,0
MAMUJU TENGAH,TOPOYO,SALULEKBO,760600807,POSKESDES BATU TANGGA,1,0
MAMUJU TENGAH,TOPOYO,SALULEKBO,760600808,Poskesdesa Batu Dinding,1,0
MAMUJU TENGAH,TOPOYO,SALUPANGKANG,7606008,Pukesmas Salupangkang,7,5
MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,760600802,PUSTU SALUPANGKANG IV,1,0
MAMUJU TENGAH,TOPOYO,SINABATTA,760600707,POSKESDES SINABATTA,2,0
MAMUJU TENGAH,TOPOYO,TABOLANG,760600804,PUSTU TABOLANG,2,0
MAMUJU TENGAH,TOPOYO,TABOLANG,760600805,PUSTU KALANDO,1,0
MAMUJU TENGAH,TOPOYO,TANGKOU,760600803,PUSTU TANGKAU,1,0
MAMUJU TENGAH,TOPOYO,TAPPILINA,760600711,pustu tappilina,2,0
MAMUJU TENGAH,TOPOYO,TOPOYO,7606007,PUSKESMAS TOPOYO,10,4
MAMUJU TENGAH,TOPOYO,TOPOYO,7606017,PMB HATI BUNDA,3,1
MAMUJU TENGAH,TOPOYO,TOPOYO,7606019,Abu Medical Clinik,3,0
MAMUJU TENGAH,TOPOYO,TUMBU,760600705,PUSTU TUMBU,1,0
MAMUJU TENGAH,TOPOYO,TUMBU,760600706,POSKESDES WAELOTONG,2,0
MAMUJU TENGAH,TOPOYO,TUMBU,760600712,PKD TANJUNG LALLERE,2,0
MAMUJU TENGAH,TOPOYO,WAEPUTEH,7606020,PMB SAYANG IBU,3,0
MAMUJU TENGAH,TOPOYO,WAEPUTEH,760600703,PUSTU WAEPUTEH,1,0
PASANGKAYU,BAMBAIRA,BAMBAIRA,7601002,UPT PUSKESMAS BAMBAIRA,5,2
PASANGKAYU,BAMBAIRA,BAMBAIRA,760100206,POSKESDES BARUGA BARU,1,0
PASANGKAYU,BAMBAIRA,BAMBAIRA,760100207,PUSTU BAMBAIRA,2,0
PASANGKAYU,BAMBAIRA,KALUKU NANGKA,760100205,PUSTU KALUKUNANGKA,1,1
PASANGKAYU,BAMBAIRA,KALUKU NANGKA,760100208,POLINDES KALUKU NANGKA,0,1
PASANGKAYU,BAMBAIRA,KASOLOANG,760100204,POSKESDES KASOLOANG,3,1
PASANGKAYU,BAMBAIRA,TAMPAURE,760100201,POSKESDES SALUIRA,1,0
PASANGKAYU,BAMBAIRA,TAMPAURE,760100202,POSKESDES BAMBARANO,1,0
PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,760100310,Pustu Bambalamotu,0,1
PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,760100312,Pustu Baliri,1,0
PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,760100313,Pustu Sawi,1,0
PASANGKAYU,BAMBALAMOTU,KALOLA,760100301,Pustu Tasonde,0,1
PASANGKAYU,BAMBALAMOTU,KALOLA,760100302,Pustu Kalola,1,0
PASANGKAYU,BAMBALAMOTU,KALOLA,760100303,Poskesdes Sulapa,1,0
PASANGKAYU,BAMBALAMOTU,PANGIANG,760100304,Pustu Pangiang,1,0
PASANGKAYU,BAMBALAMOTU,PANGIANG,760100305,Poskesdes Salule,1,0
PASANGKAYU,BAMBALAMOTU,POLEWALI,760100306,Pustu Polewali,1,0
PASANGKAYU,BAMBALAMOTU,POLEWALI,760100307,Poskesdes Hikma,1,0
PASANGKAYU,BAMBALAMOTU,POLEWALI,760100308,Poskesdes Lelumpang,1,0
PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,7601003,UPT Puskesmas Bambalamotu,3,3
PASANGKAYU,BAMBALAMOTU,WULAI,760100309,Poskesdes Wulai,0,1
PASANGKAYU,BARAS,BALANTI,760101104,Pustu Balanti,1,0
PASANGKAYU,BARAS,BARAS,760101002,Pustu Bambaloka,0,2
PASANGKAYU,BARAS,BARAS,760101004,BPM INDO'KU,1,0
PASANGKAYU,BARAS,BULU PARIGI,7601010,UPT PUSKESMAS BARAS 1,5,1
PASANGKAYU,BARAS,KASANO,760101001,Pustu Kasano,1,0
PASANGKAYU,BARAS,MOTU,7601011,UPT PUSKESMAS BARAS 2,10,1
PASANGKAYU,BARAS,MOTU,7601018,KLINIK NUSA INDAH,0,1
PASANGKAYU,BARAS,MOTU,760101101,Poskesdes Motu,1,0
PASANGKAYU,BARAS,MOTU,760101105,BPM Smart,0,1
PASANGKAYU,BARAS,TOWONI,760101102,Polindes Towoni,1,0
PASANGKAYU,BARAS,TOWONI,760101103,Pustu Towoni,1,0
PASANGKAYU,BULU TABA,BUKIT HARAPAN,760100904,PUSTU BUKIT HARAPAN,1,0
PASANGKAYU,BULU TABA,BUKIT HARAPAN,760100905,POSKESDES HOW,1,0
PASANGKAYU,BULU TABA,KARAVE,760100907,PUSTU KARAVE,1,0
PASANGKAYU,BULU TABA,KASTABUANA,760100906,PUSTU KASTABUANA,2,0
PASANGKAYU,BULU TABA,LELEJAE,760100901,PUSTU LELEJAE,2,0
PASANGKAYU,BULU TABA,LILIMORI,7601009,UPT PUSKESMAS BULUTABA,8,2
PASANGKAYU,BULU TABA,OMPI,760100903,PUSTU OMPI,1,0
PASANGKAYU,BULU TABA,SUMBER SARI,760100902,PUSTU SUMBER SARI,2,0
PASANGKAYU,DAPURANG,BENGGAULU,7601014,UPT PUSKESMAS DAPURANG,3,2
PASANGKAYU,DAPURANG,BENGGAULU,760101409,Poskesdes Benggaulu,1,1
PASANGKAYU,DAPURANG,BENGGAULU,760101410,Polindes Pammanua,1,0
PASANGKAYU,DAPURANG,BENGGAULU,760101411,Pustu Benggaulu,0,1
PASANGKAYU,DAPURANG,BENGGAULU,760101412,Polindes Kanantuo,1,0
PASANGKAYU,DAPURANG,BENGGAULU,760101413,Polindes Maros Baru,1,1
PASANGKAYU,DAPURANG,BULU BONGGU,760101402,Polindes Tobajo,1,0
PASANGKAYU,DAPURANG,BULU BONGGU,760101414,Pustu Bulubonggu,1,0
PASANGKAYU,DAPURANG,BULU BONGGU,760101415,Pustu Rontojali,1,0
PASANGKAYU,DAPURANG,BULU BONGGU,760101416,Polindes Duribohe,0,1
PASANGKAYU,DAPURANG,BULU BONGGU,760101417,Polindes Antai Kanan,1,0
PASANGKAYU,DAPURANG,DAPURANG,760101401,Pustu Dapurang,1,0
PASANGKAYU,DAPURANG,DAPURANG,760101403,Poskesdes Dapurang,0,1
PASANGKAYU,DAPURANG,DAPURANG,760101404,Polindes Tabalia,1,0
PASANGKAYU,DAPURANG,DAPURANG,760101418,BPM ISYANA,8,0
PASANGKAYU,DAPURANG,DAPURANG,760101419,Poskesdes Belawa Rahmat,1,0
PASANGKAYU,DAPURANG,SARASA,760101406,Pustu Sarasa,0,1
PASANGKAYU,DAPURANG,SARASA,760101407,Poskesdes Kasalai,0,1
PASANGKAYU,DAPURANG,SARASA,760101408,Poskesdes Bayu,1,0
PASANGKAYU,DAPURANG,TIRTABUANA,760101405,Pustu Tirtabuana,0,1
PASANGKAYU,DURIPOKU,SAPTANAJAYA,760101501,Pustu Saptanajaya,2,0
PASANGKAYU,DURIPOKU,SIPAKAINGA,760101502,Pustu Sipakainga,1,0
PASANGKAYU,DURIPOKU,TAMMARUNANG,7601015,UPT PUSKESMAS DURIPOKU,12,0
PASANGKAYU,DURIPOKU,TARANGGI,760101503,Pustu Taranggi,1,0
PASANGKAYU,LARIANG,BAJAWALI,760100802,POSKESDES KENANGAN,1,0
PASANGKAYU,LARIANG,BAJAWALI,760100803,PUSTU BAJAWALI,1,0
PASANGKAYU,LARIANG,BAMBAKORO,760100804,POSKESDES BAMBAKORO,1,1
PASANGKAYU,LARIANG,BATU MATORU,760100805,POLINDES BATUMATORU,1,1
PASANGKAYU,LARIANG,KENANGAN,760100801,PUSTU KENANGAN,1,0
PASANGKAYU,LARIANG,KULU,760100806,PUSTU GODANG,0,1
PASANGKAYU,LARIANG,PARABU,7601008,UPT PUSKESMAS LARIANG,3,2
PASANGKAYU,LARIANG,SINGGANI,760100807,POSKESDES SINGGANI,0,1
PASANGKAYU,PASANGKAYU,AKO,7601016,RSUD Kabupaten Pasangkayu,4,2
PASANGKAYU,PASANGKAYU,AKO,7601054,Unit Kesehatan Karyawan TSL-TBL,3,0
PASANGKAYU,PASANGKAYU,AKO,760100403,Poskesdes Taranja,2,0
PASANGKAYU,PASANGKAYU,GUNUNG SARI,7601017,Poli Klinik Kebun PT. Pasangkayu,5,2
PASANGKAYU,PASANGKAYU,GUNUNG SARI,760100502,Polindes Bambamone,0,1
PASANGKAYU,PASANGKAYU,KARYA BERSAMA,7601004,UPT PUSKESMAS PASANGKAYU 1,7,4
PASANGKAYU,PASANGKAYU,MARTAJAYA,7601005,UPT PUSKESMAS PASANGKAYU 2,1,7
PASANGKAYU,PASANGKAYU,PAKAVA,760100501,Pustu Pakawa,1,2
PASANGKAYU,PASANGKAYU,PASANGKAYU,7601022,SMART MEDICAL CENTER,1,1
PASANGKAYU,PASANGKAYU,PASANGKAYU,7601025,KLINIK RES MATRA,1,0
PASANGKAYU,PASANGKAYU,PASANGKAYU,7601055,APOTIK ATTAR FARMA,2,0
PASANGKAYU,PASANGKAYU,PASANGKAYU,760100401,Poskesdes Tanjung,3,0
PASANGKAYU,PASANGKAYU,PASANGKAYU,760102201,KLINIK BPM BERSAMA,1,1
PASANGKAYU,PASANGKAYU,PASANGKAYU,760102202,Bidan Praktek Mandiri FITRI,3,0
PASANGKAYU,PASANGKAYU,PASANGKAYU,760102401,"Bidan Praktek Mandiri Hj. Jurhana, S.ST",2,1
PASANGKAYU,PEDONGGA,BATU OGE,760100604,Polindes Batu Oge,1,1
PASANGKAYU,PEDONGGA,MALEI,7601006,UPT PUSKESMAS PEDONGGA,4,2
PASANGKAYU,PEDONGGA,MARTASARI,7601021,POLIBUN PT MAMUANG,0,2
PASANGKAYU,PEDONGGA,MARTASARI,760100602,PUSTU MARTASARI,2,0
PASANGKAYU,PEDONGGA,MARTASARI,760100603,Poskesdes Kabuyu,1,1
PASANGKAYU,PEDONGGA,PEDANDA,760100601,PUSTU PEDANDA,0,1
PASANGKAYU,SARJO,LETAWA,760100102,POSKESDES LETAWA,1,2
PASANGKAYU,SARJO,MAPONU,760100103,PUSTU MAPONU,3,0
PASANGKAYU,SARJO,SARJO,7601001,UPT PUSKESMAS SARJO,6,6
PASANGKAYU,SARJO,SARUDE,760100101,POSKESDES SARUDE,4,0
PASANGKAYU,SARUDU,BULU MARIO,7601013,UPT PUSKESMAS SARUDU 2,10,1
PASANGKAYU,SARUDU,BULU MARIO,7601019,POLIBUN PT SURYARAYA LESTARI 1,3,0
PASANGKAYU,SARUDU,BULU MARIO,7601026,Klinik dr. Suryana Mahmud,0,1
PASANGKAYU,SARUDU,DODA,760101202,Poskesdes Tinangguli,1,0
PASANGKAYU,SARUDU,DODA,760101203,Pustu Doda,1,0
PASANGKAYU,SARUDU,KUMASARI,760101201,Pustu Kumasari,2,0
PASANGKAYU,SARUDU,PATIKA,760101301,Poskesdes Patika,1,0
PASANGKAYU,SARUDU,SARUDU,7601012,UPT PUSKESMAS SARUDU 1,4,2
PASANGKAYU,TIKKE RAYA,JENGENG RAYA,7601007,UPT PUSKESMAS TIKKE,11,3
PASANGKAYU,TIKKE RAYA,JENGENG RAYA,760100702,POSKESDES JENGENG RAYA,1,0
PASANGKAYU,TIKKE RAYA,LARIANG,760100705,POSKESDES LARIANG,0,1
PASANGKAYU,TIKKE RAYA,MAKMUR JAYA,7601020,POLIKLINIK PT. LETAWA,7,1
PASANGKAYU,TIKKE RAYA,MAKMUR JAYA,760100703,PUSTU MAKMUR JAYA,0,1
PASANGKAYU,TIKKE RAYA,PAJALELE,760100704,POSKESDES PAJALELE,1,0
PASANGKAYU,TIKKE RAYA,TIKKE,760100701,POSKESDES TIKKE,0,1
POLEWALI MANDAR,ALLU,ALU,760402107,Poskesdes Alu,1,0
POLEWALI MANDAR,ALLU,KALUMAMMANG,760402102,POSKESDES KALUMAMMANG,0,1
POLEWALI MANDAR,ALLU,MOMBI,7604021,PUSKESMAS TUTALLU,2,1
POLEWALI MANDAR,ALLU,PAO-PAO,760402103,POSKESDES PAO - PAO,1,0
POLEWALI MANDAR,ALLU,PETOOSANG,760402101,PUSTU PETOOSANG,1,0
POLEWALI MANDAR,ALLU,PUPPU URING,760402104,POSKESDES PUPPURING,1,0
POLEWALI MANDAR,ALLU,SARAGIAN,760402105,POSKESDES SARAGIAN,1,0
POLEWALI MANDAR,ALLU,SAYOANG,760402106,Poskesdes Sayoang,1,0
POLEWALI MANDAR,ANREAPI,ANREAPI,7604036,PKM Anreapi,1,1
POLEWALI MANDAR,ANREAPI,DUAMPANUA,760403607,Pustu Duampanua,1,0
POLEWALI MANDAR,ANREAPI,KELAPA DUA,760403608,Poskesdes Kelapa Dua,0,1
POLEWALI MANDAR,ANREAPI,KELAPA DUA,760403609,Pustu Pirattean,1,0
POLEWALI MANDAR,ANREAPI,KUNYI,760403606,Pustu Kunyi,0,1
POLEWALI MANDAR,ANREAPI,PAPPANDANGAN,760403605,Poskesdes Papandangan,0,1
POLEWALI MANDAR,BALANIPA,BALA,760401802,POSKESDES BALA,3,0
POLEWALI MANDAR,BALANIPA,BALANIPA,760401801,PUSTU BALANIPA,2,0
POLEWALI MANDAR,BALANIPA,GALUNG TULUK,760401807,PUSTU GALUNG TULUK,1,0
POLEWALI MANDAR,BALANIPA,LAMBANAN,760401804,POSKESDES LAMBANAN,1,0
POLEWALI MANDAR,BALANIPA,LEGO,760401809,PUSTU LEGO,1,0
POLEWALI MANDAR,BALANIPA,MOSSO,760401805,PUSTU MOSSO,1,0
POLEWALI MANDAR,BALANIPA,PALLIS,760401808,POSKESDES PALLIS,1,1
POLEWALI MANDAR,BALANIPA,PAMBUSUANG,760401813,PMB ZAHRA,1,0
POLEWALI MANDAR,BALANIPA,SABANG SUBIK,760401803,POSKESDES SABANG SUBIK,1,0
POLEWALI MANDAR,BALANIPA,TAMANGGALLE,7604018,PUSKESMAS PAMBUSUANG,1,4
POLEWALI MANDAR,BALANIPA,TAMMAJARRA,760401806,PUSTU TAMMAJARRA,1,0
POLEWALI MANDAR,BINUANG,AMASSANGAN,7604033,PKM Binuang,1,2
POLEWALI MANDAR,BINUANG,AMASSANGAN,760403207,Pustu Pulau Salama,1,0
POLEWALI MANDAR,BINUANG,AMOLA,760403303,Poskesdes Amola,0,1
POLEWALI MANDAR,BINUANG,BATETANGNGA,760403305,Pustu Kanang,0,1
POLEWALI MANDAR,BINUANG,KALEOK,760403304,Pustu Tandipura,1,0
POLEWALI MANDAR,BINUANG,KUAJANG,7604032,Puskesmas Polewali,1,1
POLEWALI MANDAR,BINUANG,KUAJANG,760403201,Pustu Kuajang,0,1
POLEWALI MANDAR,BINUANG,KUAJANG,760403209,PRAKTEK MANDIRI dr. IWAN KATILI,1,0
POLEWALI MANDAR,BINUANG,MAMMI,760403203,Pustu Mammi,3,0
POLEWALI MANDAR,BINUANG,MIRRING,760403302,Polindes Mirring,1,0
POLEWALI MANDAR,BINUANG,PAKU,760403306,Pustu Paku,1,0
POLEWALI MANDAR,BINUANG,REA,760403301,POSKESDES REA TIMUR,1,0
POLEWALI MANDAR,BINUANG,TONYAMAN,760403204,Pulkades Tonyaman,3,0
POLEWALI MANDAR,BINUANG,TONYAMAN,760403208,Pustu Pulau Battoa,1,0
POLEWALI MANDAR,BULO,BULO,7604037,Klinik KB Puskesmas Kec. Bulo,6,1
POLEWALI MANDAR,BULO,DAALA TIMUR,760403704,Poskesdes Daala Timur,1,0
POLEWALI MANDAR,BULO,IHING,760403701,Poskesdes Ihing,1,0
POLEWALI MANDAR,BULO,KAROMBANG,760403702,Poskesdes Karombang,1,0
POLEWALI MANDAR,BULO,LENGGO,760403708,Poskesdes Lenggo,1,0
POLEWALI MANDAR,BULO,PATAMBANUA,760403707,Poskesdes Patambanua,0,1
POLEWALI MANDAR,BULO,PULLIWA,760403705,Poskesdes Pulliwa,2,0
POLEWALI MANDAR,BULO,SABURA,760403703,Poskesdes Sabura,1,0
POLEWALI MANDAR,BULO,SEPPORRAKI,760403706,Poskesdes Sepporraki,1,0
POLEWALI MANDAR,CAMPALAGIAN,BOTTO,760400101,POLINDES BOTTO,3,0
POLEWALI MANDAR,CAMPALAGIAN,GATTUNGAN,760400102,POSKESDES GATTUNGAN,3,0
POLEWALI MANDAR,CAMPALAGIAN,KATUMBANGAN,7604001,PUSKESMAS KATUMBANGAN,10,2
POLEWALI MANDAR,CAMPALAGIAN,KATUMBANGAN LEMO,760400104,POSKESDES KATUMBANGAN LEMO,3,0
POLEWALI MANDAR,CAMPALAGIAN,KENJE,760401006,POSKESDES KENJE,9,1
POLEWALI MANDAR,CAMPALAGIAN,LAGI-AGI,760401003,POSKESDES LAGI-AGI,1,0
POLEWALI MANDAR,CAMPALAGIAN,LALIKO,760401004,POSKESDES LALIKO,6,0
POLEWALI MANDAR,CAMPALAGIAN,LAMPOKO,760401009,POSKESDES LAMPOKO,7,0
POLEWALI MANDAR,CAMPALAGIAN,LAPEO,760401002,POSKESDES LAPEO,2,0
POLEWALI MANDAR,CAMPALAGIAN,ONGKO,760401011,PUSTU ONGKO,1,0
POLEWALI MANDAR,CAMPALAGIAN,PADANG,760401012,POSKESDES PADANG,1,0
POLEWALI MANDAR,CAMPALAGIAN,PADANG TIMUR,760401008,POSKESDES PADANG TIMUR,4,0
POLEWALI MANDAR,CAMPALAGIAN,PANYAMPA,760400103,PUSTU DESA PANYAMPA,2,2
POLEWALI MANDAR,CAMPALAGIAN,PAPPANG,7604010,PUSKESMAS CAMPALAGIAN,15,4
POLEWALI MANDAR,CAMPALAGIAN,PARAPPE,760401005,POSKESDES PARAPPE,0,1
POLEWALI MANDAR,CAMPALAGIAN,SUMARRANG,760401007,POSKESDES SUMARRANG,3,2
POLEWALI MANDAR,CAMPALAGIAN,SURUANG,760401010,PUSTU SURUANG,7,0
POLEWALI MANDAR,LIMBORO,LEMBANG LEMBANG,760402001,PUSTU LEMBANG - LEMBANG,1,0
POLEWALI MANDAR,LIMBORO,NAPO,760402003,PUSTU NAPO,1,0
POLEWALI MANDAR,LIMBORO,PALECE,7604020,PUSKESMAS LIMBORO,2,2
POLEWALI MANDAR,LIMBORO,PENDULANGAN,760402009,POSKESDES PENDULANGAN,1,0
POLEWALI MANDAR,LIMBORO,RENGGEANG,760402005,PUSTU RENGGEANG,0,1
POLEWALI MANDAR,LIMBORO,SALARRI,760402004,Poskesdes Salarri,1,0
POLEWALI MANDAR,LIMBORO,SAMASUNDU,760402002,PUSTU SAMASUNDU,1,0
POLEWALI MANDAR,LIMBORO,TANDASURA,760402006,PUSTU TANDASSURA,2,0
POLEWALI MANDAR,LIMBORO,TANGAN BARU,760402008,POSKESDES TANGAN BARU,0,1
POLEWALI MANDAR,LIMBORO,TODANG TODANG,760402007,PUSTU TODANG - TODANG,1,0
POLEWALI MANDAR,LUYO,BARU,760403415,PUSTU DESA BARU,1,0
POLEWALI MANDAR,LUYO,BATUPANGA,7604034,PUSKESMAS BATUPANGA,6,4
POLEWALI MANDAR,LUYO,BATUPANGA DAALA,760403417,PUSTU BATUPANGA DAALA,0,1
POLEWALI MANDAR,LUYO,LUYO,760403420,PUSTU LUYO,1,0
POLEWALI MANDAR,LUYO,MAMBU,760403411,POSTU MAMBU,0,1
POLEWALI MANDAR,LUYO,MAPILI BARAT,760403413,PUSTU MAPILLI BARAT,1,0
POLEWALI MANDAR,LUYO,PUCCADI,760403414,poskesdes puccadi,1,0
POLEWALI MANDAR,LUYO,PUSSUI,760403416,PUSTU PUSSUI INDUK,0,1
POLEWALI MANDAR,LUYO,PUSSUI BARAT,760403418,PUSTU PUSSUI BARAT,0,1
POLEWALI MANDAR,LUYO,SAMBALI WALI,760403419,PUSTU SAMBALI WALI,1,0
POLEWALI MANDAR,LUYO,TENGGELANG,760403412,PUSTU TENGGELANG,1,0
POLEWALI MANDAR,MAPILLI,BEROANGIN,760402806,POSKESDES BEROANGIN,1,0
POLEWALI MANDAR,MAPILLI,BONNE BONNE,7604051,BIDAN PRAKTEK MANDIRI MASSANRA,1,1
POLEWALI MANDAR,MAPILLI,BONRA,760402809,POSKESDES BONRA,1,0
POLEWALI MANDAR,MAPILLI,BUKU,760402805,POSKESDES BUKU,2,0
POLEWALI MANDAR,MAPILLI,KURMA,760402810,POSKESDES KURMA,1,0
POLEWALI MANDAR,MAPILLI,LANDI KANUSUANG,760402804,POSKESDES LANDI KANUSUANG,2,0
POLEWALI MANDAR,MAPILLI,MAPILI,7604028,Puskesmas Mapilli,0,2
POLEWALI MANDAR,MAPILLI,RAPPANG BARAT,760402801,POSKESDES RAPPANG BARAT,2,1
POLEWALI MANDAR,MAPILLI,RUMPA,760402807,PUSTU RUMPA,1,0
POLEWALI MANDAR,MAPILLI,SATTOKO,760402802,POSKESDES SATTOKO,1,0
POLEWALI MANDAR,MAPILLI,SEGERANG,760402808,POSKESDES SEGERANG,2,0
