PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,MAL,PUS,PUS_KB,PUS_TIDAK_KB,PB,PA,MKJP,KBPP,UNMET_NEED,BULAN,
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAYU CALLA,33,14,1,31,1,0,0,0,110,,10,,80,32,,9.09090909090909,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,57,40,4,72,2,1,1,0,276,,49,,179,76,,17.7536231884058,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,47,24,7,58,1,0,7,0,212,,12,,144,66,,5.66037735849057,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SALUBIRO,82,41,4,40,0,0,10,0,248,,1,,177,50,,0.403225806451613,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SANJANGO,59,23,0,22,1,6,0,0,177,,11,,111,29,,6.21468926553672,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SUKA MAJU,49,44,3,26,0,0,1,0,241,,44,,123,27,,18.2572614107884,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,167,103,5,90,4,1,20,0,695,,146,,390,115,,21.0071942446043,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,44,40,3,46,1,1,8,0,286,,75,,144,56,,26.2237762237762,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,177,70,7,93,8,1,5,0,471,,21,,362,107,,4.45859872611465,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,44,39,3,37,0,0,0,0,184,,32,,123,37,,17.3913043478261,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,50,41,0,24,2,1,1,0,157,,5,,119,28,,3.18471337579618,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,38,71,10,46,3,1,7,0,274,,48,,177,57,,17.5182481751825,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,65,48,3,12,0,0,1,0,178,,18,,129,13,,10.1123595505618,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,73,61,0,69,3,0,2,0,303,,29,,208,74,,9.57095709570957,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,64,44,5,107,3,0,4,0,314,,20,,227,114,,6.36942675159236,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,25,32,14,16,1,0,2,0,125,,11,,90,19,,8.8,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,84,52,4,44,4,1,5,0,269,,3,,203,54,,1.11524163568773,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,236,206,2,318,21,1,11,6,1135,,81,,839,351,,7.13656387665198,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,142,73,9,96,8,0,11,0,563,,64,,342,115,,11.3676731793961,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,125,88,2,63,3,0,12,1,448,,42,,296,78,,9.375,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,115,51,1,77,10,0,8,0,399,,28,,273,95,,7.01754385964912,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,194,69,13,53,2,0,6,0,465,,20,,337,61,,4.30107526881721,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,53,33,2,13,2,0,0,1,150,,7,,105,15,,4.66666666666667,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,407,242,25,166,22,4,22,0,1580,,246,,903,214,,15.5696202531646,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,82,12,7,55,5,0,1,1,184,,1,,163,61,,0.543478260869565,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,123,81,5,22,7,0,11,1,415,,34,,274,40,,8.19277108433735,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,86,40,23,51,10,1,6,0,305,,2,,226,68,,0.655737704918033,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PANGALLOANG,71,57,4,92,10,0,2,2,316,,12,,244,104,,3.79746835443038,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,106,37,2,30,16,4,1,0,238,,4,,196,51,,1.68067226890756,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALULEKBO,179,75,3,94,2,0,0,0,611,,92,,355,96,,15.0572831423895,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,95,88,2,82,6,0,4,0,339,,13,,279,92,,3.83480825958702,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,40,3,0,16,0,0,1,0,90,,9,,63,17,,10,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SINABATTA,61,26,1,9,4,0,1,0,177,,23,,106,14,,12.9943502824859,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,188,107,13,102,13,1,10,4,715,,57,,465,126,,7.97202797202797,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,68,11,0,13,1,0,4,0,127,,5,,97,18,,3.93700787401575,JANUARI,
