Jenis Kelamin,0 - 1,2 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75+
Laki-Laki,7655,31161,59619,62885,67733,63400,50836,44164,43901,43060,37852,35784,23180,16926,10960,7635,8956
Perempuan,7111,28938,55258,58935,62285,60644,49743,44440,44767,42913,38119,33139,22656,16614,11138,8107,10390
