PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,LUAS_WILAYAH,JUMLAH_PENDUDUK,KEPADATAN_PENDUDUK,KRS,BPJS,IDM
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BEROANGIN,10.21,2070,202.74,153,422,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BONNE BONNE,3.48,1921,552.01,88,342,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BONRA,3.03,2961,977.23,169,508,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BUKU,8.16,2326,285.05,117,312,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,KURMA,11.03,3422,310.24,198,444,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,LANDI KANUSUANG,26.89,3271,121.64,334,642,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,MAPILI,3.58,2008,560.89,157,873,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,RAPPANG BARAT,11.03,2793,253.22,57,864,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,RUMPA,8.16,2876,352.45,188,458,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,SATTOKO,10.06,612,60.83,19,915,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,SEGERANG,2.51,1465,583.67,64,109,
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,UGIBARU,4.19,2909,694.27,183,806,
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,BARUMBUNG,8.78,2628,299.32,155,174,
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,BUNGA-BUNGA,3.92,1266,322.96,31,643,
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,INDOMAKKOMBONG,9.94,3543,356.44,148,327,
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,MATAKALI,8.01,3243,404.87,154,209,
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,PASIANG,23.66,4354,184.02,250,866,
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,PETAMPANUA,8.94,5209,582.66,485,299,
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,TONROLIMA,9.48,2749,289.98,193,809,
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,BA'BA TAPUA,15.3,318,20.78,58,853,
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,KATIMBANG,29.35,577,19.66,94,879,
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,LILLI,21.87,624,28.53,33,229,
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,MAMBU TAPUA,37.38,536,14.34,41,127,
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,MATANGNGA,32.63,878,26.91,52,370,
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,RANGOAN,35.7,673,18.85,84,854,
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,TAPUA,64.66,1253,19.38,217,319,
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,DARMA,5.67,7730,1363.32,398,528,
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,LANTORA,1.4,5240,3742.86,274,551,
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,MADATE,2.38,8303,3488.66,572,734,
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,MANDING,3,4328,1442.67,352,188,
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,PEKKABATA,1.95,4741,2431.28,209,668,
