PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2001,TIKKE,1495,0,71,153,147,176,153,120,125,115,109,99,86,57,40,20,9,15
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2002,MAKMUR JAYA,2121,74,142,215,214,203,238,199,199,179,153,121,77,52,15,15,12,13
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2003,LARIANG,1798,44,115,191,194,180,189,191,127,147,116,98,79,48,33,19,12,15
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2004,PAJALELE,1218,0,47,126,136,131,118,114,125,110,108,78,42,30,33,14,2,4
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2005,JENGENG RAYA,1110,42,75,113,104,117,113,99,83,84,77,66,54,27,28,14,4,10
SULAWESI BARAT,PASANGKAYU,PEDONGGA,2001,MALEI,860,0,44,92,100,87,75,85,62,71,59,48,39,37,28,13,11,9
SULAWESI BARAT,PASANGKAYU,PEDONGGA,2002,PEDANDA,599,0,28,49,58,56,52,47,49,45,53,43,27,30,29,11,9,13
SULAWESI BARAT,PASANGKAYU,PEDONGGA,2003,BATU OGE,447,0,18,47,43,42,42,39,37,36,43,32,20,18,14,3,3,10
SULAWESI BARAT,PASANGKAYU,PEDONGGA,2004,MARTASARI,1253,0,48,133,127,119,115,118,118,123,102,73,55,53,29,14,11,15
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,2001,BAMBAIRA,1293,47,66,131,134,166,124,89,101,110,93,77,52,39,23,16,12,13
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,2002,KASOLOANG,1102,37,65,109,108,145,102,93,63,81,74,74,49,31,24,11,20,16
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,2003,TAMPAURE,976,0,35,90,105,153,103,64,52,81,80,57,61,44,28,8,7,8
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,2004,KALUKU NANGKA,1399,39,97,144,167,194,124,107,108,97,91,78,48,33,28,14,16,14
